"fromPlace";"qtd_ruas_15_min";"qtd_ruas_45_min"
"Aracy Cabral";22;46
"Vila Kosmos - Nossa Senhora do Carmo";19;41
"Taquara";17;42
"Terminal Bandeira Brasil";17;42
"Olaria - Cacique de Ramos";15;25
"Vicente de Carvalho";15;40
"Andre Rocha";14;41
"Madureira-Manaceia";14;38
"Pedro Correia";14;19
"Tanque";12;50
"Pedro Taques";11;36
"Praça Seca";11;52
"Terminal Mestre Candeia";11;50
"Capitão Menezes";10;50
"Cardoso de Moraes - Viúva Garcia";9;32
"Ibiapina";9;26
"Marambaia";9;38
"Pinto Teles";9;48
"Apóstolo Samuel Joaquim";8;48
"Merck";8;44
"Praça do Carmo";8;38
"Terminal Paulo da Portela";8;38
"Pastor José Santos";7;43
"Rio II";7;18
"Curicica";6;19
"Ipase";6;55
"Mercadão";6;34
"Penha I";6;32
"Penha II";6;33
"Santa Efigênia";6;44
"Terminal Alvorada";6;25
"Vaz Lobo";6;41
"Guaporé";5;39
"Santa Luzia";5;24
"Hospital Sarah";4;17
"Lourenço Jorge";4;25
"Vila Queiroz";4;37
"Divina Providência";3;40
"Otaviano";3;33
"Praça do Bandolim";3;21
"Recanto das Palmeiras - Jardim São Luiz";3;41
"Aeroporto de Jacarepaguá";2;23
"Arroio Pavuna";2;30
"Centro Metropolitano";2;20
"Terminal Fundão - Aroldo Melodia";2;3
"Via Parque";2;16
"Vila Sapê - IV Centenário";2;32
"Maré";1;20
